product_id,current_stock,min_stock,max_stock,warehouse_location,last_restock_date
1,45,20,100,WH-A,2025-01-10
2,8,15,80,WH-B,2025-01-12
3,120,30,200,WH-A,2025-01-08
4,5,10,50,WH-C,2025-01-15
5,67,25,150,WH-B,2025-01-11
6,15,20,100,WH-A,2025-01-09
7,89,30,180,WH-C,2025-01-14
8,12,15,90,WH-B,2025-01-13
9,34,25,120,WH-A,2025-01-10
10,9,10,60,WH-C,2025-01-12
11,78,35,200,WH-B,2025-01-11
12,3,10,50,WH-A,2025-01-15
13,56,20,100,WH-C,2025-01-09
14,23,15,80,WH-B,2025-01-14
15,7,12,70,WH-A,2025-01-13
16,91,40,250,WH-C,2025-01-10
17,14,18,95,WH-B,2025-01-12
18,42,22,110,WH-A,2025-01-11
19,6,10,55,WH-C,2025-01-15
20,88,35,190,WH-B,2025-01-09
