product_id,sale_date,quantity_sold,customer_id,sale_id
1,2025-01-15,3,C001,S001
2,2025-01-16,1,C002,S002
3,2025-01-17,2,C003,S003
4,2025-01-18,5,C004,S004
5,2025-01-19,1,C005,S005
6,2025-01-20,4,C006,S006
7,2025-01-21,2,C007,S007
8,2025-01-22,3,C008,S008
9,2025-01-23,1,C009,S009
10,2025-01-24,2,C010,S010
11,2025-01-25,4,C011,S011
12,2025-01-26,1,C012,S012
13,2025-01-27,3,C013,S013
14,2025-01-28,2,C014,S014
15,2025-01-29,5,C015,S015
16,2025-01-30,1,C016,S016
17,2025-01-31,2,C017,S017
18,2025-02-01,3,C018,S018
19,2025-02-02,4,C019,S019
20,2025-02-03,2,C020,S020
